Time_s,Voltage_V,Current_A,Temperature_C,Speed_kmh,SOC_Actual_pct,SOC_Model_pct,SOC_Error_pct,SOH_Actual_pct,SOH_Model_pct,SOH_Error_pct
0.014,424.0361,-0.10,25.00,0.0,80.0000,79.9801,0.0199,100.0000,100.0000,0.0000
0.117,424.0232,-0.57,25.00,0.0,79.9996,79.9366,0.0629,100.0000,99.9874,0.0126
0.222,424.0619,-0.77,25.00,0.0,79.9988,79.9313,0.0675,100.0000,99.9884,0.0116
0.336,424.0699,-0.89,25.00,0.0,79.9978,80.0141,0.0163,100.0000,100.0000,0.0000
0.450,424.0183,-0.95,25.00,0.0,79.9967,80.0915,0.0948,100.0000,100.0000,0.0000
0.551,424.0264,-0.97,25.00,0.0,79.9957,79.9757,0.0200,100.0000,100.0000,0.0000
0.667,423.9956,-0.99,25.00,0.0,79.9945,79.9901,0.0045,100.0000,99.9812,0.0188
0.783,424.0558,-0.99,25.00,0.0,79.9934,80.0906,0.0973,100.0000,99.9935,0.0065
0.900,424.0622,-1.00,25.00,0.0,79.9922,80.0083,0.0162,100.0000,100.0000,0.0000
1.022,424.0346,-1.00,25.00,0.0,79.9909,80.0332,0.0423,100.0000,99.9931,0.0069
1.134,424.0230,-1.00,25.00,0.0,79.9898,79.9973,0.0075,100.0000,100.0000,0.0000
1.250,424.0469,-1.00,25.00,0.0,79.9886,80.0368,0.0482,99.9999,100.0000,0.0001
1.367,423.9985,-1.00,25.00,0.0,79.9874,80.0774,0.0900,99.9999,99.9964,0.0035
1.484,424.0451,-1.00,25.00,0.0,79.9862,80.0091,0.0229,99.9999,100.0000,0.0001
1.600,424.0038,-1.00,25.00,0.0,79.9850,79.9845,0.0005,99.9999,100.0000,0.0001
1.720,424.0522,-1.00,25.00,0.0,79.9837,80.0762,0.0925,99.9999,100.0000,0.0001
1.834,424.0529,-1.00,25.00,0.0,79.9826,79.8912,0.0913,99.9999,100.0000,0.0001
1.950,424.8968,-17.51,25.00,0.9,79.9757,80.0674,0.0917,99.9999,100.0000,0.0001
2.067,425.6822,-33.94,25.02,3.1,79.9421,79.8862,0.0559,99.9997,99.9848,0.0149
2.184,426.0271,-41.80,25.06,5.2,79.8954,79.8051,0.0903,99.9995,100.0000,0.0005
2.300,426.1707,-45.55,25.10,7.0,79.8427,79.7766,0.0661,99.9992,99.9883,0.0109
2.417,426.1609,-47.35,25.13,8.6,79.7865,79.7139,0.0726,99.9990,99.9928,0.0061
2.518,426.2392,-48.12,25.16,10.0,79.7368,79.7071,0.0297,99.9987,100.0000,0.0013
2.634,426.1676,-48.58,25.19,11.4,79.6790,79.5971,0.0819,99.9984,99.9826,0.0158
2.751,426.1589,-48.80,25.21,12.6,79.6203,79.5697,0.0507,99.9982,100.0000,0.0018
2.867,426.0992,-48.90,25.23,13.8,79.5620,79.6345,0.0725,99.9979,100.0000,0.0021
2.984,426.0060,-48.95,25.25,14.9,79.5031,79.4052,0.0979,99.9976,99.9832,0.0144
3.100,425.9955,-48.98,25.26,15.8,79.4447,79.3723,0.0724,99.9973,99.9990,0.0017
3.201,425.9251,-48.99,25.26,16.6,79.3938,79.4829,0.0891,99.9971,99.9777,0.0193
3.319,425.9521,-48.99,25.27,17.4,79.3343,79.3831,0.0488,99.9968,99.9786,0.0181
3.434,425.8415,-49.00,25.28,18.1,79.2763,79.3496,0.0732,99.9965,100.0000,0.0035
3.551,425.8431,-49.00,25.28,18.8,79.2174,79.2582,0.0409,99.9962,100.0000,0.0038
3.667,425.7908,-49.00,25.29,19.4,79.1589,79.1117,0.0472,99.9959,99.9832,0.0127
3.784,425.7336,-49.00,25.29,20.0,79.0999,79.0871,0.0127,99.9956,99.9924,0.0033
3.901,425.7152,-49.00,25.29,20.5,79.0409,79.1272,0.0862,99.9953,100.0000,0.0047
4.019,425.5861,-49.00,25.29,20.9,78.9814,78.8972,0.0842,99.9950,100.0000,0.0050
4.134,425.6236,-49.00,25.29,21.3,78.9235,78.9809,0.0575,99.9948,100.0000,0.0052
4.251,425.5190,-49.00,25.30,21.7,78.8645,78.9479,0.0835,99.9945,99.9753,0.0192
4.367,425.4476,-49.00,25.30,22.1,78.8060,78.8792,0.0732,99.9942,99.9776,0.0166
4.484,425.4625,-49.00,25.30,22.4,78.7470,78.7374,0.0096,99.9939,100.0000,0.0061
4.601,425.4323,-49.00,25.30,22.7,78.6880,78.7340,0.0460,99.9936,100.0000,0.0064
4.717,425.3719,-49.00,25.30,22.9,78.6296,78.5419,0.0876,99.9933,99.9991,0.0057
4.834,425.3163,-49.00,25.30,23.2,78.5706,78.4837,0.0869,99.9931,99.9903,0.0027
4.951,425.2105,-49.00,25.30,23.4,78.5116,78.4285,0.0831,99.9928,99.9945,0.0017
5.067,425.1753,-49.00,25.30,23.6,78.4531,78.4030,0.0501,99.9925,100.0000,0.0075
5.184,425.2103,-49.00,25.30,23.8,78.3941,78.3116,0.0825,99.9922,99.9855,0.0067
5.301,425.1048,-49.00,25.30,23.9,78.3352,78.2407,0.0944,99.9919,99.9895,0.0024
